Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number
214907249,Fearless,Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",4,4.09,Simon & Schuster Children's UK,Kindle Edition,608.0,2025,2025.0,2025/05/08,2025/04/12,,,read,1,0,Fearless,The Powerless Trilogy,3
54698696,Meet Me in Another Life,Catriona Silvey,"Silvey, Catriona",,"=""0063020203""","=""9780063020207""",0,3.73,William Morrow,Hardcover,320.0,2021,2021.0,,2025/04/28,to-read,to-read (#230),to-read,0,0,Meet Me in Another Life,,
36118682,Wicked Saints,Emily A. Duncan,"Duncan, Emily A.",,"=""1250195667""","=""9781250195661""",0,3.56,Wednesday Books,Hardcover,385.0,2019,2019.0,,2025/04/28,to-read,to-read (#229),to-read,0,0,Wicked Saints,Something Dark and Holy,1
40718386,The Passengers,John Marrs,"Marrs, John",,"=""1473558522""","=""9781473558526""",0,4.06,Ebury Digital,ebook,400.0,2019,2019.0,,2025/04/21,to-read,to-read (#228),to-read,0,0,The Passengers,,
228665,The Eye of the World,Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.19,Tor Books,Mass Market Paperback,800.0,1990,1990.0,,2025/04/20,to-read,to-read (#227),to-read,0,0,The Eye of the World,The Wheel of Time,1
112750,Darkfever,Karen Marie Moning,"Moning, Karen Marie",,"=""0385339151""","=""9780385339155""",0,4.05,Delacorte Press,Hardcover,309.0,2006,2006.0,,2025/04/18,to-read,to-read (#226),to-read,0,0,Darkfever,Fever,1
35155381,Song of the Forever Rains,E.J. Mellow,"Mellow, E.J.",,"=""1542026059""","=""""",0,3.93,Montlake,Kindle Edition,423.0,2021,2021.0,,2025/04/18,to-read,to-read (#225),to-read,0,0,Song of the Forever Rains,Mousai,1
53968496,The Prison Healer,Lynette Noni,"Noni, Lynette",,"=""0358434556""","=""9780358434559""",0,4.17,Clarion Books,Hardcover,416.0,2021,2021.0,,2025/04/18,to-read,to-read (#224),to-read,0,0,The Prison Healer,The Prison Healer,1
59479184,Nightshade,Keri Lake,"Lake, Keri",,"=""""","=""9798753529800""",0,3.98,Independently published,Paperback,676.0,2021,2021.0,,2025/04/18,to-read,to-read (#223),to-read,0,0,Nightshade,Nightshade,1
211004124,Gifted & Talented,Olivie Blake,"Blake, Olivie",,"=""1250883407""","=""9781250883407""",0,3.56,Tor Books,Hardcover,512.0,2025,2025.0,,2025/04/18,to-read,to-read (#222),to-read,0,0,Gifted & Talented,,
60880813,The Things We Do to Our Friends,Heather Darwent,"Darwent, Heather",,"=""0593497163""","=""9780593497166""",0,3.2,Bantam,Hardcover,336.0,2023,2023.0,,2025/04/18,to-read,to-read (#221),to-read,0,0,The Things We Do to Our Friends,,
36530830,Daughters of the Lake,Wendy     Webb,"Webb, Wendy",,"=""1503956342""","=""9781503956346""",0,4.01,Lake Union Publishing,Kindle Edition,321.0,2018,2018.0,,2025/04/18,to-read,to-read (#220),to-read,0,0,Daughters of the Lake,,
18509623,The Girl from the Well,Rin Chupeco,"Chupeco, Rin",,"=""140229218X""","=""9781402292187""",0,3.82,Sourcebooks Fire,Hardcover,267.0,2014,2014.0,,2025/04/17,to-read,to-read (#219),to-read,1,0,The Girl from the Well,The Girl from the Well,1
203840597,Powerful,Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",3,4.12,Simon & Schuster Children's UK,Kindle Edition,272.0,2024,2024.0,2025/04/17,2025/04/16,,,read,1,0,Powerful,The Powerless Trilogy,1.5
222953258,Depths of Vanalf,Brady Hunsaker,"Hunsaker, Brady",,"=""""","=""""",0,4.04,,Kindle Edition,446.0,2025,,,2025/04/16,to-read,to-read (#218),to-read,0,0,Depths of Vanalf,Grimnir Chronicles,1
40940649,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""0795315635""","=""9780795315633""",3,4.05, RosettaBooks ,Kindle Edition,162.0,2011,1954.0,2025/04/12,2024/03/21,,,read,1,0,I Am Legend,,
209439468,The City in Glass,Nghi Vo,"Vo, Nghi",,"=""1250348277""","=""9781250348272""",0,3.71,Tordotcom,Hardcover,216.0,2024,2024.0,,2025/04/12,to-read,to-read (#217),to-read,0,0,The City in Glass,,
14578407,Penpal,Dathan Auerbach,"Auerbach, Dathan",,"=""098554550X""","=""9780985545505""",0,3.86,1000Vultures,Paperback,242.0,2012,2012.0,,2025/04/11,to-read,to-read (#216),to-read,0,0,Penpal,,
52028992,Negative Space,B.R. Yeager,"Yeager, B.R.",,"=""1733569456""","=""9781733569453""",0,3.7,Apocalypse Party,Paperback,364.0,2020,2020.0,,2025/04/11,to-read,to-read (#215),to-read,0,0,Negative Space,,
199757490,Incidents Around the House,Josh Malerman,"Malerman, Josh",,"=""0593723120""","=""9780593723128""",0,3.58,Del Rey,Hardcover,367.0,2024,2024.0,,2025/04/11,to-read,to-read (#214),to-read,0,0,Incidents Around the House,,
220772,Come Closer,Sara Gran,"Gran, Sara",,"=""0425210316""","=""9780425210314""",0,3.66,Berkley Trade,Paperback,194.0,2006,2003.0,,2025/04/11,to-read,to-read (#213),to-read,0,0,Come Closer,,
