Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",0,3.81,Harper,Hardcover,309,2021,2021,,2024/10/10,to-read,to-read (#144),to-read,,,,0,0
123349658,"Rain of Shadows and Endings (Legacy, #1)",Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""""",0,3.99,,Kindle Edition,670,2023,2023,,2024/09/26,to-read,to-read (#143),to-read,,,,0,0
205899692,The Story Collector,Evie  Woods,"Woods, Evie",Evie Gaughan,"=""0008706662""","=""9780008706661""",0,4.00,One More Chapter,Kindle Edition,358,2024,2018,,2024/09/12,to-read,to-read (#142),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368,2022,2022,,2024/09/12,to-read,to-read (#141),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2024/01/29,currently-reading,currently-reading (#1),currently-reading,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,3.96,Alfred A. Knopf,Paperback,503,2005,2002,,2024/09/07,to-read,to-read (#140),to-read,,,,0,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,2024/09/05,2024/01/29,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,2024/08/31,2024/01/29,,,read,,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.00,Doubleday,Hardcover,506,2011,2011,,2024/08/25,to-read,to-read (#139),to-read,,,,0,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.85,Saga Press,ebook,209,2019,2019,,2024/08/25,to-read,to-read (#138),to-read,,,,0,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,2024/08/24,2024/01/29,,,read,,,,1,0
16126596,The People in the Trees,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385536771""","=""9780385536776""",0,3.73,Doubleday,Hardcover,369,2013,2013,,2024/08/22,to-read,to-read (#137),to-read,,,,0,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2024/08/19,2024/01/29,,,read,,,,1,0
42844108,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""""","=""""",4,4.12,Clarion Books,Kindle Edition,239,2018,1993,2024/08/18,2024/01/29,,,read,,,,1,0
17383543,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0062209272""","=""9780062209276""",4,3.60,Katherine Tegen Books,Kindle Edition,329,2013,2013,,2024/07/03,,,read,,,,2,0
62066104,I Hope This Finds You Well,Natalie Sue,"Sue, Natalie",,"=""006332038X""","=""9780063320383""",0,3.74,William Morrow,Kindle Edition,349,2024,2024,,2024/08/15,to-read,to-read (#136),to-read,,,,0,0
40495148,Blindness,José Saramago,"Saramago, José",Giovanni Pontiero,"=""""","=""""",0,4.18,Mariner Books,Kindle Edition,349,2013,1995,,2024/08/09,to-read,to-read (#135),to-read,,,,0,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""159420571X""","=""9781594205712""",0,3.83,Penguin Press,Hardcover,297,2014,2014,,2024/08/07,to-read,to-read (#134),to-read,,,,0,0
