Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number,Genre
127305713,Heartless Hunter,Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""1250866901""","=""9781250866905""",0,4.18,Wednesday Books,Hardcover,406.0,2024,2024.0,,2025/02/17,to-read,to-read (#165),to-read,0,0,Heartless Hunter,The Crimson Moth,1.0,Young Adult Fiction
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",0,4.09,Tordotcom,Paperback,199.0,2021,2021.0,,2025/02/16,to-read,to-read (#164),to-read,0,0,Elder Race,,,Fiction
57748116,Satan's Affair,H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",3,3.71,Independently Published,Kindle Edition,197.0,2021,2021.0,2025/02/16,2025/02/16,,,read,1,0,Satan's Affair,Cat and Mouse,0.5,Dark Romance
59023378,Wool,Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,4.23,John Joseph Adams/Houghton Mifflin Harcourt,ebook,584.0,2020,2012.0,2025/02/14,2024/01/29,,,read,1,0,Wool,Silo Trilogy,1.0,Science Fiction
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.17,Signet Classics,Mass Market Paperback,449.0,2004,1868.0,,2025/02/11,to-read,to-read (#163),to-read,0,0,Little Women,Little Women,1.0,Classic / Literary Fiction
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418629""","=""9780553418620""",0,4.06,Crown,Paperback,390.0,2016,2015.0,,2025/02/10,to-read,to-read (#162),to-read,0,0,The Library at Mount Char,,,Fiction
34311452,Year One,Nora Roberts,"Roberts, Nora",,"=""1250122953""","=""9781250122957""",0,4.06,St. Martin's Press,Hardcover,419.0,2017,2017.0,,2025/02/07,to-read,to-read (#161),to-read,0,0,Year One,Chronicles of The One,1.0,Fiction
56179338,All of Us Villains,Amanda Foody,"Foody, Amanda",C.L. Herman,"=""1250789257""","=""9781250789259""",0,3.85,Tor Teen,Hardcover,400.0,2021,2021.0,,2025/02/07,to-read,to-read (#160),to-read,0,0,All of Us Villains,All of Us Villains,1.0,JUVENILE FICTION
20613761,Citizen: An American Lyric,Claudia Rankine,"Rankine, Claudia",,"=""1555976905""","=""9781555976903""",0,4.25,Graywolf Press,Paperback,169.0,2014,2014.0,,2025/02/06,to-read,to-read (#159),to-read,0,0,Citizen: An American Lyric,,,Art
16086362,The Park Service,Ryan Winfield,"Winfield, Ryan",,"=""0988348209""","=""9780988348202""",0,3.73,Birch Paper Press,Paperback,338.0,2012,2012.0,,2025/02/03,to-read,to-read (#158),to-read,0,0,The Park Service,Park Service Trilogy,1.0,Fiction
13928,Daughter of the Forest,Juliet Marillier,"Marillier, Juliet",,"=""""","=""""",0,4.29,Tom Doherty Associates,Mass Market Paperback,554.0,2002,1999.0,,2025/01/28,to-read,to-read (#157),to-read,0,0,Daughter of the Forest,Sevenwaters,1.0,Fantasy
209439446,Onyx Storm,Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",5,4.21,Red Tower Books,Hardcover,544.0,2025,2025.0,2025/01/27,2025/01/21,,,read,1,0,Onyx Storm,The Empyrean,3.0,Romantasy
50523477,The Jasmine Throne,Tasha Suri,"Suri, Tasha",,"=""0356515648""","=""9780356515649""",0,4.11,Orbit,Paperback,533.0,2021,2021.0,,2025/01/27,to-read,to-read (#156),to-read,0,0,The Jasmine Throne,The Burning Kingdoms,1.0,Fiction
60568206,The Sun and the Void,Gabriela Romero Lacruz,"Lacruz, Gabriela Romero",,"=""0316336440""","=""9780316336444""",0,3.3,Orbit,Paperback,511.0,2023,2023.0,,2025/01/27,to-read,to-read (#155),to-read,0,0,The Sun and the Void,The Warring Gods,1.0,Fiction
68428,Mistborn: The Final Empire,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.49,Tor Books,Hardcover,541.0,2006,2006.0,,2025/01/26,to-read,to-read (#154),to-read,0,0,Mistborn: The Final Empire,Mistborn,1.0,Fiction
54513688,Realm Breaker,Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.58,Orion Publishing,ebook,576.0,2021,2021.0,,2025/01/22,to-read,to-read (#153),to-read,0,0,Realm Breaker,Realm Breaker,1.0,Fantasy
61439818,Eden Rising,Shade Owens,"Owens, Shade",,"=""""","=""""",0,4.03,Red Raven Publishing,Kindle Edition,419.0,2022,,,2025/01/19,to-read,to-read (#152),to-read,0,0,Eden Rising,The Dark Sanctuary,1.0,Fantasy
10108463,The Devil All the Time,Donald Ray Pollock,"Pollock, Donald Ray",,"=""038553504X""","=""9780385535045""",0,4.14,Doubleday,Hardcover,261.0,2011,2011.0,,2025/01/16,to-read,to-read (#151),to-read,0,0,The Devil All the Time,,,Fiction
50659467,A Court of Thorns and Roses,Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",5,4.16,Bloomsbury Publishing,Paperback,419.0,2020,2015.0,,2024/02/01,,,read,1,0,A Court of Thorns and Roses,A Court of Thorns and Roses,1.0,Romantasy
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Ballantine Books,Hardcover,384.0,2014,2011.0,2025/01/14,2024/01/29,,,read,1,0,The Martian,,,Science Fiction
65213595,Starling House,Alix E. Harrow,"Harrow, Alix E.",,"=""1250799058""","=""9781250799050""",0,3.79,Tor Books,Hardcover,320.0,2023,2023.0,,2025/01/14,to-read,to-read (#150),to-read,0,0,Starling House,,,Fiction
90202302,Iron Flame,Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",5,4.36,Entangled: Red Tower Books,Hardcover,623.0,2023,2023.0,2025/01/03,2024/01/29,,,read,2,0,Iron Flame,The Empyrean,2.0,Romantasy
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",0,4.01,Vintage Books,Paperback,159.0,1989,1981.0,,2025/01/10,currently-reading,currently-reading (#2),currently-reading,1,0,What We Talk About When We Talk About Love,,,Fiction
61431922,Fourth Wing,Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.57,Entangled: Red Tower Books,Hardcover,517.0,2023,2023.0,2025/01/03,2025/01/03,,,read,2,0,Fourth Wing,The Empyrean,1.0,Romantasy
195790847,A Sorceress Comes to Call,T. Kingfisher,"Kingfisher, T.",,"=""1250244072""","=""9781250244079""",0,4.06,Tor Books,Hardcover,321.0,2024,2024.0,,2024/11/15,to-read,to-read (#149),to-read,0,0,A Sorceress Comes to Call,,,Fiction
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""1982198788""","=""9781982198787""",0,3.64,Atria/Emily Bestler Books,Hardcover,312.0,2024,2024.0,,2024/11/15,to-read,to-read (#148),to-read,0,0,We Used to Live Here,,,Fiction
209741142,Anathema,Keri Lake,"Lake, Keri",,"=""""","=""""",0,4.23,,Unknown Binding,690.0,2024,2024.0,,2024/10/30,to-read,to-read (#147),to-read,0,0,Anathema,The Eating Woods,1.0,Fantasy
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",0,3.81,Harper,Hardcover,309.0,2021,2021.0,,2024/10/10,to-read,to-read (#146),to-read,0,0,Cultish: The Language of Fanaticism,,,Language Arts & Disciplines
